database_id,searchName,scientificName,decimalLatitude,decimalLongitude,occurrenceID,basisOfRecord,verbatimEventDate,year,country,stateProvince,locality,identifiedBy,coordinateUncertaintyInMeters,recordedBy
GBIF_86,1,"Aparatrigona impunctata (Ducke, 1916)",5.2139,-52.71416,1092733481,PRESERVED_SPECIMEN,1977-03-02T00:00:00Z,1977,French Guiana,NA,"Kourou, 10 km NW",Camargo,NA,"Michener, Charles"
GBIF_87,1,"Aparatrigona impunctata (Ducke, 1916)",5.2139,-52.71416,1092733513,PRESERVED_SPECIMEN,1977-03-02T00:00:00Z,1977,French Guiana,NA,"Kourou, 10 km NW",Camargo,NA,"Michener, Charles"
GBIF_88,1,"Aparatrigona impunctata (Ducke, 1916)",5.2139,-52.71416,1092733499,PRESERVED_SPECIMEN,1977-03-02T00:00:00Z,1977,French Guiana,NA,"Kourou, 10 km NW",Camargo,NA,"Michener, Charles"
GBIF_89,1,"Aparatrigona impunctata (Ducke, 1916)",5.2139,-52.71416,1092733489,PRESERVED_SPECIMEN,1977-03-02T00:00:00Z,1977,French Guiana,NA,"Kourou, 10 km NW",Camargo,NA,"Michener, Charles"
GBIF_90,1,"Aparatrigona impunctata (Ducke, 1916)",5.2139,-52.71416,1092733455,PRESERVED_SPECIMEN,1977-03-02T00:00:00Z,1977,French Guiana,NA,"Kourou, 10 km NW",Camargo,NA,"Michener, Charles"
GBIF_91,1,"Aparatrigona impunctata (Ducke, 1916)",5.2139,-52.71416,1092733485,PRESERVED_SPECIMEN,1977-03-02T00:00:00Z,1977,French Guiana,NA,"Kourou, 10 km NW",Camargo,NA,"Michener, Charles"
GBIF_92,1,"Aparatrigona impunctata (Ducke, 1916)",5.2139,-52.71416,1092733488,PRESERVED_SPECIMEN,1977-03-02T00:00:00Z,1977,French Guiana,NA,"Kourou, 10 km NW",Camargo,NA,"Michener, Charles"
GBIF_93,1,"Aparatrigona impunctata (Ducke, 1916)",5.2139,-52.71416,1092733490,PRESERVED_SPECIMEN,1977-03-02T00:00:00Z,1977,French Guiana,NA,"Kourou, 10 km NW",Camargo,NA,"Michener, Charles"
GBIF_94,1,"Aparatrigona impunctata (Ducke, 1916)",5.2139,-52.71416,1092733474,PRESERVED_SPECIMEN,1977-03-02T00:00:00Z,1977,French Guiana,NA,"Kourou, 10 km NW",Camargo,NA,"Michener, Charles"
GBIF_95,1,"Aparatrigona impunctata (Ducke, 1916)",5.2139,-52.71416,1092733472,PRESERVED_SPECIMEN,1977-03-02T00:00:00Z,1977,French Guiana,NA,"Kourou, 10 km NW",Camargo,NA,"Michener, Charles"
GBIF_96,1,"Aparatrigona impunctata (Ducke, 1916)",5.2139,-52.71416,1092733480,PRESERVED_SPECIMEN,1977-03-02T00:00:00Z,1977,French Guiana,NA,"Kourou, 10 km NW",Camargo,NA,"Michener, Charles"
GBIF_97,1,"Aparatrigona impunctata (Ducke, 1916)",5.2139,-52.71416,1092733493,PRESERVED_SPECIMEN,1977-03-02T00:00:00Z,1977,French Guiana,NA,"Kourou, 10 km NW",Camargo,NA,"Michener, Charles"
GBIF_98,1,"Aparatrigona impunctata (Ducke, 1916)",5.2139,-52.71416,1092733484,PRESERVED_SPECIMEN,1977-03-02T00:00:00Z,1977,French Guiana,NA,"Kourou, 10 km NW",Camargo,NA,"Michener, Charles"
GBIF_99,1,"Aparatrigona impunctata (Ducke, 1916)",5.2139,-52.71416,1092733471,PRESERVED_SPECIMEN,1977-03-02T00:00:00Z,1977,French Guiana,NA,"Kourou, 10 km NW",Camargo,NA,"Michener, Charles"
GBIF_100,1,"Aparatrigona impunctata (Ducke, 1916)",5.2139,-52.71416,1092733491,PRESERVED_SPECIMEN,1977-03-02T00:00:00Z,1977,French Guiana,NA,"Kourou, 10 km NW",Camargo,NA,"Michener, Charles"
GBIF_101,1,"Aparatrigona impunctata (Ducke, 1916)",5.2139,-52.71416,1092733500,PRESERVED_SPECIMEN,1977-03-02T00:00:00Z,1977,French Guiana,NA,"Kourou, 10 km NW",Camargo,NA,"Michener, Charles"
GBIF_102,1,"Aparatrigona impunctata (Ducke, 1916)",5.2139,-52.71416,1092733514,PRESERVED_SPECIMEN,1977-03-02T00:00:00Z,1977,French Guiana,NA,"Kourou, 10 km NW",Camargo,NA,"Michener, Charles"
